x Values, y Values
-100.0,-167.36363636363637
-96.0,-157.69696969696972
-92.0,-155.08158508158508
-88.0,-157.7958707958708
-84.0,-145.06253746253745
-80.0,-136.68753746253748
-76.0,-123.39341981547862
-72.0,-114.33786425992308
-68.0,-109.70628531255467
-64.0,-106.90628531255466
-60.0,-111.38247578874514
-56.0,-110.33575385660747
-52.0,-108.84236262611401
-48.0,-99.92620917585351
-44.0,-84.07527290823363
-40.0,-79.50445078660012
-36.0,-73.7814466591745
-32.0,-67.08563841363623
-28.0,-59.74029432571782
-24.0,-54.07524713586844
-20.0,-38.70234055602624
-16.0,-22.527096021134856
-12.0,-8.345731362302828
-8.0,4.249346316926281
-4.0,6.210087054677696
0.0,14.842723243387757
4.0,23.525922006720513
8.0,29.445320514620274
12.0,42.61346141596582
16.0,52.677925975093615
20.0,64.90426755180609
24.0,74.59982031884573
28.0,81.70110204932101
32.0,91.17952268796975
36.0,96.36667394373373
40.0,108.5646066527364
44.0,111.17041062461014
48.0,125.77252913022394
52.0,133.83572954049077
56.0,138.56059945118244
60.0,138.28276309754602
64.0,140.6859872366663
68.0,142.0622180230267
72.0,145.79300237577564
76.0,147.81840750474947
80.0,155.1697502424672
84.0,159.36795694476703
88.0,167.02684181129965
92.0,158.55027135233095
96.0,154.84707254907377
